Token Address,reason,pairs_count,liquidity_usd,liquidity_fmt,launch_dt,launch_conf,vol24,vol24_fmt,launch_age_days
BT4shuwXKS6Qm1A5cjfhqUbJqWrVTkvbAZ9uaKHcpump,no_valid_launch_pair,1.0,,,,,,,
41rRe8q5EGBTWQs7F6JfDyRSbwFQn4upQRzfyRH5pump,liquidity<25000.0,2.0,7347.19,7.35k,,,,,
BZRk3JNWitp2iKvsbbRBEL2HCGyvXcbRukZ7tJE1pump,no_valid_launch_pair,1.0,,,,,,,
DAFdakKAEvB6GtJgnDk1LC1QK4gQrtTK3eKUZtAJpump,no_valid_launch_pair,1.0,,,,,,,
95MGrMCLWSZdd9inREmJ2koRPsi47GDEvSBnDDGtpump,no_valid_launch_pair,1.0,,,,,,,
J3NKxxXZcnNiMjKw9hYb2K4LUxgwB6t1FtPtQVsv3KFr,too_many_pairs>8_and_older_than_30.0d,30.0,,,2024-10-13T04:08:08+00:00,,,,490.24
36jfMDsUjNUGBKPq1iq6HL58YEpwTNFXYaZ7TUH6HyeP,no_valid_launch_pair,1.0,,,,,,,
B6tv9BHVVRoZnmv9jdNUfZdkvVupNaCqgHAEof8ipump,no_valid_launch_pair,1.0,,,,,,,
5b1LVqxWtWPhGtufctUzpDr62N2PHARBrTtg1LWejnSh,vol24<200000.0,1.0,,,,,3050.13,3.05k,
EvXkXJcf9ZieNL9CVmBV4bj7E6WP9pv13U2jpv3UFkyX,launch_older_than_30.0d,1.0,,,2025-01-31T18:24:03+00:00,low,,,
7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,too_many_pairs>8_and_older_than_30.0d,30.0,,,2024-07-03T22:39:06+00:00,,,,591.47
C4RCJYsszQCtmMC7RH8avGsnLN8EiqAvtLK5HJWzXuEr,launch_older_than_30.0d,1.0,,,2025-01-22T08:30:14+00:00,low,,,
CSrwNk6B1DwWCHRMsaoDVUfD5bBMQCJPY72ZG3Nnpump,launch_older_than_30.0d,4.0,,,2025-12-01T11:34:11+00:00,high,,,
GXLm8N8BQHnE9ZwT8CHuqreVW4mQzYLECtNapgJMmhas,no_valid_launch_pair,1.0,,,,,,,
ACeWC77UeW2DBZMe7YBsuXoxLvk4dHMnPzneApau1Au6,launch_older_than_30.0d,5.0,,,2024-03-26T11:48:36+00:00,low,,,
A8iVH9ZpvVhXDqtbEpWfrvRd4fvZcQSGH2zmtAqEpump,no_valid_launch_pair,1.0,,,,,,,
31tJmg14tPbczAdM8GGJ4WLvho7u1pTcb5igxMgdpump,no_valid_launch_pair,1.0,,,,,,,
31HZxdN5oipzVNQFN8JfwaGyAc1CJuFLPUFg7dPApump,no_valid_launch_pair,1.0,,,,,,,
5MTCqCVi81f1Bz3AyhL3oua6m5bWf6RhH4c3TPQWpump,liquidity<25000.0,1.0,3224.21,3.22k,,,,,
BBKPiLM9KjdJW7oQSKt99RVWcZdhF6sEHRKnwqeBGHST,too_many_pairs>8_and_older_than_30.0d,16.0,,,2025-10-22T19:44:17+00:00,,,,115.59
Fa5Rf2BnATni1TiAqK57fBhXQZdLf3CPKXGzxrkrpump,liquidity<25000.0,1.0,4235.46,4.24k,,,,,
85ymfLLfeyYA9wV1PorpLBW1pprWfPgnm3cMEx5ppump,launch_older_than_30.0d,2.0,,,2026-01-03T23:41:11+00:00,low,,,
CzH6em6ZHhC8Tb3Mtwuc6TpNRHt9wdZgH5XJn78Mpump,no_valid_launch_pair,1.0,,,,,,,
4hScCMqemprkdLyEgxwyMSGaBgTXNqP89BzFxPAFpump,no_valid_launch_pair,1.0,,,,,,,
HjVfy7QBbx57J2QB9TwNAVK6oCxEEkk2osGvxuEuZKjD,launch_older_than_30.0d,1.0,,,2025-10-01T13:59:38+00:00,low,,,
Hqux1nFW98VwxWgVwBXUTrnbQ1SwVSLk4LfJ6o2Fpump,liquidity<25000.0,1.0,3501.93,3.50k,,,,,
4g1VDRBRaeaqgRbSpmo7J4At19s5Jvx47zvjy453pump,liquidity<25000.0,2.0,5365.21,5.37k,,,,,
hntyVP6YFm1Hg25TN9WGLqM12b8TQmcknKrdu1oxWux,too_many_pairs>8_and_older_than_30.0d,30.0,,,2023-04-19T05:46:41+00:00,,,,1033.18
BwUTq7fS6sfUmHDwAiCQZ3asSiPEapW5zDrsbwtapump,no_valid_launch_pair,1.0,,,,,,,
2nP9yKQNSGQy851iyawDvBkzkK2R2aqKArQCKc2gpump,too_many_pairs>8_and_older_than_30.0d,12.0,,,2026-01-10T01:04:57+00:00,,,,36.37
JjGQAsJBRQLYmBj41bgZggVLawaa4qoSF77NJsRpump,liquidity<25000.0,1.0,16674.03,16.67k,,,,,
7FuxQY4C7jdGV9LzRvZS6iPmA9Vkpo7AJpdgFqMipump,no_valid_launch_pair,1.0,,,,,,,
Dfd3QtSsaNMyPaydcpBRy7wxCuqYkbjSvLUCt1o5pump,no_valid_launch_pair,1.0,,,,,,,
CrR9YgUfg2z7CZXVinSk8UN3njdUvToHMZmx9RsSP2i9,launch_older_than_30.0d,1.0,,,2025-06-09T15:28:46+00:00,low,,,
pSfL9Bi343yQVJn4W8NJoaERUHXY1MazEraLdWi9Ve6,no_valid_launch_pair,1.0,,,,,,,
svy5ErijNYy9hEVzxknCdwWdZ3NeXJTdpb9Ndnso17f,launch_older_than_30.0d,4.0,,,2025-12-13T12:55:59+00:00,medium,,,
DN9PQ7RGnfgz4kZMTPwSLRitZwShSLe28AgMVhstpump,no_valid_launch_pair,1.0,,,,,,,
8gHPxqgHj6JQ2sQtMSghQYVN5qRP8wm5T6HNejuwpump,launch_older_than_30.0d,4.0,,,2025-06-25T13:57:13+00:00,medium,,,
8LrdSu2tYaehRRZxD8SDbBskXFEeCNd6n11PAJgtpump,launch_older_than_30.0d,1.0,,,2025-05-13T19:36:37+00:00,low,,,
3yLSAky4ns3ejzNrisxoUtHMPgWZsii159WUpRyHpump,no_valid_launch_pair,1.0,,,,,,,
GRkAQsphKwc5PPMmi2bLT2aG9opmnHqJPN7spmjLpump,no_valid_launch_pair,1.0,,,,,,,
C8Je7STjHeYHuPG62LRuhMGJviDQr9efZ7oihZtEpump,liquidity<25000.0,2.0,8136.25,8.14k,,,,,
EF228ijSZdSampJMvhLUiijJGP5PTH1Z17i71JR5pump,vol24<200000.0,5.0,,,,,125885.35,125.89k,
Hu4PpKo62eh8GjMY9H1kGBcuGEbiYeKSp9bE5gqQpump,no_valid_launch_pair,1.0,,,,,,,
3i5vJwLN76HYphPMqqBCFqLzT14mkqCHsgrD8aFUpump,liquidity<25000.0,1.0,7552.84,7.55k,,,,,
BGSkN7ecC8yV5TZCzHRwaW4X2zt3bdL9sezpRJ68pump,liquidity<25000.0,3.0,14886.28,14.89k,,,,,
9sjdR5pVYKVbkSALTG1CYhaq1gKxayJqo35sskm8bj4D,launch_older_than_30.0d,1.0,,,2025-04-14T22:00:47+00:00,low,,,
HkTwcZiFj924XnAn3rVpyqJxSWKkCXXuZABdsvJapump,no_valid_launch_pair,1.0,,,,,,,
8e6m2EqGrXjGx9FksEVVe9DPvE4um3caPxKQgTAcMTXq,launch_older_than_30.0d,1.0,,,2025-12-26T07:11:26+00:00,low,,,
56Lc5By6bBmewoLZLy2QWs9L9nd8aQHFZrYCSaX5KDCm,launch_older_than_30.0d,1.0,,,2025-08-10T03:37:19+00:00,low,,,
31k88G5Mq7ptbRDf3AM13HAq6wRQHXHikR8hik7wPygk,too_many_pairs>8_and_older_than_30.0d,21.0,,,2025-05-01T12:08:25+00:00,,,,289.91
3At4zCkWM5C9JV66WyVLBT4z9PcpGCUTPvBuhEjs5R4x,no_valid_launch_pair,1.0,,,,,,,
4L9FtxiTfU5FAiSmG5PP1QdndZxf6xf2pCGHPv5PvHFB,no_valid_launch_pair,1.0,,,,,,,
m3u6E4nQ51NiDeSLAN9Gv7sVU2ypAW7vYowEahGpump,no_valid_launch_pair,1.0,,,,,,,
9a6SEQ7qBnWEmzz4Vpeq55a7tcubu26wJwkwCM5Cpump,liquidity<25000.0,1.0,4654.62,4.65k,,,,,
4nKiBzUscGCKkEpz1Jz8upgbaRySigVF94FcDZ6RN5u5,launch_older_than_30.0d,1.0,,,2025-08-10T03:31:28+00:00,low,,,
FL4eKdJrVZ1dVu1RoekeQRnuPxavzD4oCcR5HTcspump,launch_older_than_30.0d,1.0,,,2025-10-23T07:23:32+00:00,low,,,
ExAY9GdUsEJ162s9hR2PqiRCdKKB4aQ2d3VGjuutUqRP,liquidity<25000.0,2.0,17288.64,17.29k,,,,,
Bydp8c35ZycUw2xG6txnoKP4MM84Fi3utnuGrJ6yVMP5,no_valid_launch_pair,1.0,,,,,,,
HVj1w1F4XjnfLTxeQKDeZiMm2NuXe1HujnTJE8eDpump,no_valid_launch_pair,1.0,,,,,,,
D67BSPqECWv8GEozzFT4KCMtT9aFkswK5fC3oeBBbonk,vol24<200000.0,7.0,,,,,94963.68,94.96k,
Hfe2ZgunCdUAyY37dAE9C44mKkpwAjjdJLoiDvnqpump,no_valid_launch_pair,1.0,,,,,,,
